FilePath,Project,InvokedMethods,TryQuantity,TrySizeLOC,TrySizeSLOC
/Users/asiftanim/Downloads/hadoop-release-2.6.0/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-api/src/main/java/org/apache/hadoop/yarn/api/records/YarnApplicationAttemptState.java,hadoop-2.6,0,0,0,0
/Users/asiftanim/Downloads/hadoop-release-2.6.0/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-api/src/main/java/org/apache/hadoop/yarn/api/records/LocalResourceType.java,hadoop-2.6,0,0,0,0
/Users/asiftanim/Downloads/hadoop-release-2.6.0/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-api/src/main/java/org/apache/hadoop/yarn/api/records/ContainerReport.java,hadoop-2.6,11,0,0,0
/Users/asiftanim/Downloads/hadoop-release-2.6.0/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-api/src/main/java/org/apache/hadoop/yarn/api/records/timeline/TimelineEvent.java,hadoop-2.6,9,0,0,0
/Users/asiftanim/Downloads/hadoop-release-2.6.0/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-api/src/main/java/org/apache/hadoop/yarn/api/records/timeline/TimelineEntities.java,hadoop-2.6,2,0,0,0
/Users/asiftanim/Downloads/hadoop-release-2.6.0/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-api/src/main/java/org/apache/hadoop/yarn/api/records/timeline/TimelineDomains.java,hadoop-2.6,2,0,0,0
/Users/asiftanim/Downloads/hadoop-release-2.6.0/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-api/src/main/java/org/apache/hadoop/yarn/api/records/timeline/TimelinePutResponse.java,hadoop-2.6,4,0,0,0
/Users/asiftanim/Downloads/hadoop-release-2.6.0/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-api/src/main/java/org/apache/hadoop/yarn/api/records/timeline/TimelineEntity.java,hadoop-2.6,44,0,0,0
/Users/asiftanim/Downloads/hadoop-release-2.6.0/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-api/src/main/java/org/apache/hadoop/yarn/api/records/timeline/TimelineDelegationTokenResponse.java,hadoop-2.6,0,0,0,0
/Users/asiftanim/Downloads/hadoop-release-2.6.0/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-api/src/main/java/org/apache/hadoop/yarn/api/records/timeline/TimelineEvents.java,hadoop-2.6,6,0,0,0
